Feature,Importance
ATSC0pe_product,0.0005909595487964
MATS2p_aryl,0.0005899325803969
Xch-7d_base,0.0005879863920372
MATS8se_ligand,0.0005852658441018
AATSC3v_ligand,0.0005838579024877
AATS5m_aryl,0.000582408948057
GATS2v_additive,0.0005802951464713
AATS2s_additive,0.0005802745889968
BCUTse-1l_base,0.0005772816645902
BCUTp-1l_additive,0.0005747507327398
GATS4se_ligand,0.0005729916937025
ATSC5c_additive,0.000572237169329
AXp-1dv_aryl,0.0005717709763537
AATSC0Z_product,0.0005675595198034
AATS4p_aryl,0.0005672723003976
BCUTpe-1l_ligand,0.0005643975501106
AATSC7p_ligand,0.00056353673556
AATS3i_ligand,0.0005629348246255
GATS4i_aryl,0.0005616076827613
AATSC8v_ligand,0.0005609978484917
AATS1d_base,0.0005605614179351
MATS3c_ligand,0.000558610800144
GATS4v_ligand,0.0005573938732858
AATS0are_product,0.0005547188052115
AXp-7dv_ligand,0.0005536580812525
ATSC4s_aryl,0.0005534900450171
AATS0are_base,0.0005528076876321
AATSC0dv_product,0.0005527049890996
MIC5_product,0.0005513797636467
MINaaN_additive,0.0005488671832521
AXp-5dv_ligand,0.0005480679049549
VE2_Dzv_aryl,0.0005456375462273
AATSC3s_additive,0.0005427694203731
ETA_eta_FL_aryl,0.0005426899677767
AXp-7d_ligand,0.000540962117864
MATS3pe_ligand,0.0005409432208814
AATS5dv_aryl,0.0005402923893433
AXp-4d_ligand,0.0005398387475805
GATS1p_aryl,0.0005392980501616
GATS4are_ligand,0.0005384384357589
GATS1dv_ligand,0.00053299164862
GATS4pe_ligand,0.000531752026163
AATSC3se_additive,0.0005297552820407
AATSC3p_ligand,0.0005232762002717
VR3_Dzv_aryl,0.0005231015353674
AATSC2p_additive,0.0005230985530133
MATS3v_ligand,0.0005226609564185
MAXaaN_additive,0.0005225384609498
BCUTc-1h_product,0.0005218700237139
GATS4Z_base,0.0005214718350966
AATSC5i_ligand,0.0005199931267741
MATS5v_ligand,0.0005190986705048
SM1_Dzm_product,0.0005185191873629
MATS3c_additive,0.0005172586961261
AATS3dv_product,0.0005170466709942
AXp-5d_ligand,0.0005159106277382
ETA_epsilon_2_product,0.0005154096977777
IC4_ligand,0.0005140573588281
AATSC8c_ligand,0.0005131260268689
MATS3s_ligand,0.0005111524286158
GATS1s_additive,0.000510768099297
AATSC8are_ligand,0.0005079115180014
PEOE_VSA10_additive,0.0005074937123308
BIC5_ligand,0.0005064871957594
MATS8i_ligand,0.0005050874004932
BCUTare-1l_ligand,0.0005007879517492
SsssP_ligand,0.0005000431023817
MATS7are_base,0.0004983556038916
AATS7dv_product,0.0004973309806457
MATS5Z_ligand,0.000495816419588
BIC3_ligand,0.0004957024361136
AATSC7pe_ligand,0.0004955636632939
MATS7v_base,0.0004939169416412
GATS4s_ligand,0.0004932691476486
MATS3p_ligand,0.0004928577059268
MIC4_product,0.000492721526784
SM1_Dzpe_product,0.0004894912414774
ATSC3Z_ligand,0.0004838589231806
GATS8c_product,0.0004820211408846
VE1_Dzare_aryl,0.0004811123391087
AMID_C_ligand,0.0004807393786452
GATS4dv_additive,0.0004798895854772
GATS4p_ligand,0.0004784024142212
ATSC8c_ligand,0.000478333629234
ATSC8se_ligand,0.0004781824962178
AXp-3dv_aryl,0.0004757898216962
GATS5c_additive,0.0004753426287097
VE2_Dzse_base,0.0004749544402992
MINaasC_ligand,0.0004740549063843
GATS2p_base,0.0004734178176405
MATS5m_ligand,0.0004730925077882
AATSC3c_additive,0.0004728662677796
AATSC3Z_ligand,0.0004718483574482
AATSC7m_ligand,0.000470812516068
SpDiam_Dzv_aryl,0.0004701473902702
AATSC5p_ligand,0.0004691411593987
AATS3d_product,0.0004683681573467
ATSC0s_product,0.0004662803834502
ATS4s_additive,0.0004657295747301
NssCH2_base,0.0004656579782481
AATS4s_aryl,0.0004645777993239
AATSC8m_product,0.0004636953058871
MATS8c_product,0.0004636558398706
MATS8pe_ligand,0.0004636211580501
GATS6p_ligand,0.0004629454856128
ATSC1c_ligand,0.0004626708960019
VSA_EState7_aryl,0.000462652600023
FilterItLogS_base,0.0004615226055222
MATS8v_ligand,0.0004611609731957
AATSC7Z_product,0.0004609177588909
BCUTs-1h_product,0.0004598588066791
AATS1p_aryl,0.0004598558001961
ATSC8Z_ligand,0.0004585207848684
ETA_epsilon_5_product,0.0004579449891985
AATSC8p_ligand,0.0004537137766034
VE2_D_base,0.0004528440593316
AXp-3d_ligand,0.0004520298936518
MATS8m_ligand,0.0004517563211738
AATS3m_product,0.0004480160811222
ATSC6s_base,0.0004473522219155
ETA_eta_FL_product,0.0004454259686674
AETA_eta_FL_additive,0.0004441575159539
Mp_ligand,0.0004433574180879
SpAD_Dzv_aryl,0.0004431085188524
AATS4v_aryl,0.0004428298783405
GATS3i_aryl,0.0004427619991598
BCUTs-1l_ligand,0.0004425174896049
BCUTdv-1h_aryl,0.0004418186767714
MATS3m_ligand,0.0004413718951677
ETA_dPsi_A_product,0.0004406233830833
ATS4dv_aryl,0.0004389371080794
ATS1s_aryl,0.0004386071555224
SpAD_Dzp_aryl,0.0004380550407821
SIC2_base,0.0004373790724721
AATSC5v_ligand,0.0004351960506088
MINsssCH_ligand,0.0004344638886155
BCUTdv-1l_additive,0.0004344435443071
